id,boletin,suma,titulo,categoria,categorias
0005a3aa-6734-4d2b-84c5-62cd9e50d547,17925-07,"Modifica la Carta Fundamental, para disponer el despliegue de las Fuerzas Armadas en el resguardo de áreas de zonas fronterizas dentro del territorio nacional",,,['SEGURIDAD_JUSTICIA']
000a4e1e-aa1a-4733-97be-c8e87d201d39,13656-31,"Modifica la ley N°21.230, para facilitar y ampliar el acceso al ingreso familiar de emergencia",,,['SALUD_PUBLICA']
0017f1a9-b4af-4e9d-a6d9-6f91c1f83493,13451-07,Proyecto de reforma constitucional que faculta al Presidente de la República para intervenir y tomar la dirección de fábricas durante la vigencia del estado de catástrofe.,,,['INSTITUCIONALIDAD_ESTADO']
001bdfe4-50ae-4d91-bd4b-4fa6fbfe876b,15565-07,"Modifica el Código Orgánico de Tribunales para otorgar, al juzgado de letras y garantía de Toltén, competencia sobre la comuna de Teodoro Schmidt",,,['TECNOLOGIA_INNOVACION']
002205c4-ce31-4852-a9cd-8bbb47ee9420,17176-11,"Modifica la ley N° 20.606, sobre composición nutricional de los alimentos y su publicidad, con el objeto de exigir la rotulación de alimentos ultraprocesados y restringir su publicidad",,,['DERECHOS_FUNDAMENTALES']
002e3064-8936-4688-bb10-2ae060672289,14084-29,"Modifica la ley N°21.197, a fin de prorrogar el plazo otorgado a las organizaciones deportivas para acreditar la implementación de un protocolo general para la prevención y sanción de las conductas de acoso sexual, abuso sexual, discriminación y maltrato en la actividad deportiva",,,['SEGURIDAD_JUSTICIA']
0031b566-8153-475a-9d20-9ea61606005c,14918-03,Modifica la ley N°19.983 en materia de plazo para el pago de facturas emitidas por empresas de menor tamaño,,,['ECONOMIA_FINANZAS']
0040a520-1e0e-4329-a82c-0d7cd3bddbee,15415-07,Modifica la Carta Fundamental para establecer un límite de expectativa de vida en las tablas de mortalidad para el cálculo de pensiones y crea un nuevo seguro de longevidad,,,['INSTITUCIONALIDAD_ESTADO']
00490939-3730-43d2-ae6d-6b9f78a1aca7,17306-06,"Modifica la Ley N° 21.325, de Migración y Extranjería, para incorporar como causal de expulsión de migrantes con ingreso irregular, el no acogerse a los procesos de registro e identificación dispuestos por la autoridad competente",,,['DERECHO_LABORAL_EMPLEO']
005015e1-d519-4c99-8a76-87a2f3865fbe,17737-14,"Modifica la ley N° 21.442, que aprueba nueva Ley de Copropiedad Inmobiliaria, a fin de facultar a los administradores de condominios para emitir certificados de residencia",,,['VIVIENDA_URBANISMO']
00511740-e771-4a63-bd6d-dfd65ca9feb5,16804-15,"Modifica la ley N° 18.290, de Tránsito, con el objeto de exceptuar de la obligación de informar que indica, tratándose de las placas patentes de vehículos de las Fuerzas de Orden y Seguridad Pública",,,['SEGURIDAD_JUSTICIA']
00570c84-7598-488c-aea2-20825f6927e9,17100-13,Regula el peso máximo de carga humana para trabajadores a honorarios,,,['DERECHO_LABORAL_EMPLEO']
005b06df-b26e-49fd-b860-14025c102eaa,16561-07,"Modifica la ley N° 18.056, que establece normas generales sobre el otorgamiento de pensiones de gracia por el Presidente de la República, con el objeto de restringir su concesión y disponer su cese, en los casos que indica",,,['TECNOLOGIA_INNOVACION']
005c01f4-c986-45b1-bba3-b06eb38422a0,17876-24,Rinde homenaje a los autores del Himno a Chiloé y confiere a este carácter oficial,,,['TECNOLOGIA_INNOVACION']
00641829-6a81-4c22-bd1f-a8ff8bcd7e6f,15715-04,Consolida el sistema de reconocimiento y promoción del desarrollo profesional docente como único sistema general de evaluación y fortalece los procesos de inducción y acompañamiento,,,['EDUCACION']
00653117-344a-4349-8d8a-63cddc601faf,14183-10,"Aprueba el Acuerdo de Servicios Aéreos entre el Gobierno de la República de Chile y el Gobierno de la República de Finlandia, suscrito en Nairobi, el 11 de diciembre de 2018",,,['TECNOLOGIA_INNOVACION']
0065a978-e94b-4786-b468-3900f5edf25c,16274-07,Modifica la Carta Fundamental para autorizar la intervención de las Fuerzas Armadas en la prevención de desastres,,,['SEGURIDAD_JUSTICIA']
00859852-6f6e-493c-89bd-8d64fd8fd00b,16014-13,"Modifica el Código del Trabajo, con el objeto de extender la aplicación de la modalidad de trabajo a distancia o teletrabajo a los casos que indica",,,['DERECHO_LABORAL_EMPLEO']
00955b7b-31b5-4afc-9f1f-fda282272a98,16227-07,"Modifica el Código Penal, para tipificar la inducción, incitación o conspiración para el derrocamiento de un gobierno legítimamente constituido, en los casos que señala",,,['SEGURIDAD_JUSTICIA']
0095b8d2-37f7-44ac-900f-513436dd0285,14758-21,"Modifica la ley N° 18.892, Ley General de Pesca y Acuicultura, para mejorar el desempeño de las áreas protegidas frente al desarrollo de la acuicultura.",,,['MEDIO_AMBIENTE']
0099120c-deb6-4636-bf80-232f718db85a,17325-33,Modifica el Código de Aguas para equiparar el número de votos a que tienen derecho los integrantes de las organizaciones de usuarios de aguas,,,['MEDIO_AMBIENTE']
009c92b6-3bff-4124-bc3e-cc181f596b34,18086-07,"Modifica el artículo 269 del Código Penal, para aumentar la pena aplicable a delitos cometidos contra el personal de Bomberos de Chile y de otras entidades destinadas a combatir un siniestro u otra calamidad",,,['SEGURIDAD_JUSTICIA']
